id,título,autor,género,año_publicación,calificación_promedio,num_calificaciones,1_estrella,2_estrellas,3_estrellas,4_estrellas,5_estrellas,copias,imagen,imagen_2
153,City of Ashes,Cassandra Clare,Ciencia Ficción,2008,4.21,541117,6135,20075,92626,192934,274238,125,https://images.gr-assets.com/books/1432730356m/1582996.jpg,https://images.gr-assets.com/books/1432730356s/1582996.jpg
159,The Battle of the Labyrinth,Rick Riordan,Ficción,2008,4.39,508214,2435,8093,62108,172289,292783,92,https://images.gr-assets.com/books/1443142158m/2120932.jpg,https://images.gr-assets.com/books/1443142158s/2120932.jpg
164,Eleanor & Park,Rainbow Rowell,No Ficción,2013,4.11,514312,12904,26371,94470,196224,249784,103,https://images.gr-assets.com/books/1341952742m/15745753.jpg,https://images.gr-assets.com/books/1341952742s/15745753.jpg
166,Matched,Ally Condie,Fantasía,2010,3.68,511815,24343,53804,138030,165412,149091,84,https://images.gr-assets.com/books/1367706191m/7735333.jpg,https://images.gr-assets.com/books/1367706191s/7735333.jpg
175,The Last Olympian,Rick Riordan,Ciencia Ficción,2009,4.5,397500,2098,6501,45208,133168,312535,87,https://images.gr-assets.com/books/1327924597m/4502507.jpg,https://images.gr-assets.com/books/1327924597s/4502507.jpg
182,Beautiful Creatures,"Kami Garcia, Margaret Stohl",Ficción,2009,3.76,436093,19917,43525,113352,132492,149232,119,https://images.gr-assets.com/books/1327873282m/6304335.jpg,https://images.gr-assets.com/books/1327873282s/6304335.jpg
183,Clockwork Angel,Cassandra Clare,No Ficción,2010,4.33,490890,8364,15544,61409,140928,289514,103,https://images.gr-assets.com/books/1454962884m/7171637.jpg,https://images.gr-assets.com/books/1454962884s/7171637.jpg
187,Uglies,Scott Westerfeld,Fantasía,2005,3.86,449073,15531,34808,106086,151540,156624,98,https://images.gr-assets.com/books/1443904172m/24770.jpg,https://images.gr-assets.com/books/1443904172s/24770.jpg
202,"Hush, Hush",Becca Fitzpatrick,Ciencia Ficción,2009,4.0,448166,19338,33543,82544,120204,206173,91,https://images.gr-assets.com/books/1358261334m/6339664.jpg,https://images.gr-assets.com/books/1358261334s/6339664.jpg
206,The Selection,Kiera Cass,Ficción,2012,4.15,505340,13841,25349,83692,158716,257493,93,https://images.gr-assets.com/books/1322103400m/10507293.jpg,https://images.gr-assets.com/books/1322103400s/10507293.jpg
214,The Titan's Curse,Rick Riordan,No Ficción,2007,4.33,446668,1863,7934,65220,162371,248874,94,https://images.gr-assets.com/books/1361038385m/561456.jpg,https://images.gr-assets.com/books/1361038385s/561456.jpg
219,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",Fantasía,1956,4.24,376385,3772,12192,59975,133056,192681,270,https://images.gr-assets.com/books/1449868701m/11127.jpg,https://images.gr-assets.com/books/1449868701s/11127.jpg
223,Artemis Fowl,Eoin Colfer,Ficción,2001,3.82,386923,14473,30894,94950,129607,129241,163,https://images.gr-assets.com/books/1327945104m/249747.jpg,https://images.gr-assets.com/books/1327945104s/249747.jpg
224,Fallen,Lauren Kate,No Ficción,2009,3.74,395296,23594,41578,94145,107149,141642,97,https://images.gr-assets.com/books/1440619649m/6487308.jpg,https://images.gr-assets.com/books/1440619649s/6487308.jpg
234,Speak,Laurie Halse Anderson,Fantasía,1999,4.0,360156,7770,21049,76503,125660,141422,87,https://images.gr-assets.com/books/1310121762m/439288.jpg,https://images.gr-assets.com/books/1310121762s/439288.jpg
241,Number the Stars,Lois Lowry,Ciencia Ficción,1989,4.11,333638,3797,12794,63919,123296,138559,81,https://images.gr-assets.com/books/1370917812m/47281.jpg,https://images.gr-assets.com/books/1370917812s/47281.jpg
245,Bridge to Terabithia,Katherine Paterson,Ficción,1977,3.98,337644,8287,20081,74409,119504,131193,125,https://images.gr-assets.com/books/1327880087m/2839.jpg,https://images.gr-assets.com/books/1327880087s/2839.jpg
246,Marked,"P.C. Cast, Kristin Cast",No Ficción,2007,3.79,360044,21547,34170,81486,97982,135835,97,https://images.gr-assets.com/books/1317067002m/30183.jpg,https://images.gr-assets.com/books/1317067002s/30183.jpg
250,Wonder,R.J. Palacio,Fantasía,2012,4.43,228538,4504,7833,34567,105977,224910,124,https://images.gr-assets.com/books/1309285027m/11387515.jpg,https://images.gr-assets.com/books/1309285027s/11387515.jpg
252,Cinder,Marissa Meyer,Ciencia Ficción,2012,4.15,427663,12154,18256,66180,150914,206642,92,https://images.gr-assets.com/books/1470056948m/11235712.jpg,https://images.gr-assets.com/books/1470056948s/11235712.jpg
259,The Scorch Trials,James Dashner,Ficción,2010,3.93,305643,5525,21370,79458,124458,115496,107,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
263,Ella Enchanted,Gail Carson Levine,No Ficción,1997,3.97,339117,6619,20066,80272,110568,128224,61,https://images.gr-assets.com/books/1410727190m/24337.jpg,https://images.gr-assets.com/books/1410727190s/24337.jpg
275,An Abundance of Katherines,John Green,Fantasía,2006,3.63,312754,14225,36867,98115,111740,86477,116,https://images.gr-assets.com/books/1360206426m/49750.jpg,https://images.gr-assets.com/books/1360206426s/49750.jpg
280,Delirium,Lauren Oliver,Ciencia Ficción,2011,3.99,256975,8868,21223,68789,117580,135938,108,https://images.gr-assets.com/books/1327890411m/11614718.jpg,https://images.gr-assets.com/books/1327890411s/11614718.jpg
282,Coraline,Neil Gaiman,Ficción,2002,4.03,316379,7078,15010,67188,126167,128187,153,https://images.gr-assets.com/books/1493497435m/17061.jpg,https://images.gr-assets.com/books/1493497435s/17061.jpg
292,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",No Ficción,1951,4.08,306492,2658,12490,69089,112121,128906,299,https://images.gr-assets.com/books/1343185059m/140225.jpg,https://images.gr-assets.com/books/1343185059s/140225.jpg
294,The Son of Neptune ,Rick Riordan,Fantasía,2011,4.44,299980,1773,4666,30788,93611,185962,69,https://images.gr-assets.com/books/1464201114m/9520360.jpg,https://images.gr-assets.com/books/1464201114s/9520360.jpg
300,The Boy in the Striped Pyjamas,John Boyne,Ciencia Ficción,2006,4.1,285692,5297,13562,54987,121193,130362,178,https://images.gr-assets.com/books/1366228171m/39999.jpg,https://images.gr-assets.com/books/1366228171s/39999.jpg
309,City of Fallen Angels,Cassandra Clare,Ficción,2011,4.16,341826,4306,16000,64499,120426,167936,96,https://images.gr-assets.com/books/1369452302m/6752378.jpg,https://images.gr-assets.com/books/1369452302s/6752378.jpg
312,The Graveyard Book,"Neil Gaiman, Dave McKean",No Ficción,2008,4.12,302303,5515,12566,53668,120830,132872,129,https://images.gr-assets.com/books/1303859949m/2213661.jpg,https://images.gr-assets.com/books/1303859949s/2213661.jpg
314,Tintenherz,"Cornelia Funke, Anthea Bell",Fantasía,2003,3.86,285011,8524,22966,71494,98625,99805,134,https://images.gr-assets.com/books/1328866790m/28194.jpg,https://images.gr-assets.com/books/1328866790s/28194.jpg
319,City of Lost Souls,Cassandra Clare,Ciencia Ficción,2012,4.3,300553,3341,10329,43333,97947,172919,101,https://images.gr-assets.com/books/1460477703m/8755776.jpg,https://images.gr-assets.com/books/1460477703s/8755776.jpg
321,Where the Red Fern Grows,Wilson Rawls,Ficción,1961,4.04,268548,6585,15232,53560,89699,115103,69,https://images.gr-assets.com/books/1166154337m/10365.jpg,https://images.gr-assets.com/books/1166154337s/10365.jpg
327,Legend,Marie Lu,Fantasía,2011,4.19,299998,5069,11608,48677,106122,146996,91,https://images.gr-assets.com/books/1501368160m/9275658.jpg,https://images.gr-assets.com/books/1501368160s/9275658.jpg
332,The magician's nephew,C.S. Lewis,Ciencia Ficción,1953,4.01,268355,3168,14602,69051,105375,111374,312,https://images.gr-assets.com/books/1308814770m/65605.jpg,https://images.gr-assets.com/books/1308814770s/65605.jpg
340,I Am Number Four,Pittacus Lore,Ficción,2010,3.94,253437,6538,17766,58268,90409,97214,38,https://images.gr-assets.com/books/1305807140m/7747374.jpg,https://images.gr-assets.com/books/1305807140s/7747374.jpg
347,Prince Caspian: The Return to Narnia,C.S. Lewis,No Ficción,1951,3.96,250221,2399,12145,68026,101461,89038,348,https://images.gr-assets.com/books/1308814880m/121749.jpg,https://images.gr-assets.com/books/1308814880s/121749.jpg
348,We Were Liars,E. Lockhart,Fantasía,2014,3.85,273442,9074,22616,68468,102385,96237,77,https://images.gr-assets.com/books/1402749479m/16143347.jpg,https://images.gr-assets.com/books/1402749479s/16143347.jpg
351,Clockwork Prince,Cassandra Clare,Ciencia Ficción,2011,4.46,307994,3420,6235,29508,85633,203223,99,https://images.gr-assets.com/books/1460477747m/10025305.jpg,https://images.gr-assets.com/books/1460477747s/10025305.jpg
355,Graceling,Kristin Cashore,Ficción,2008,4.1,281185,6773,13946,48894,99939,127078,87,https://images.gr-assets.com/books/1331548394m/3236307.jpg,https://images.gr-assets.com/books/1331548394s/3236307.jpg
363,Anna and the French Kiss,Stephanie Perkins,No Ficción,2010,4.08,259479,10602,14781,46011,84323,129627,79,https://images.gr-assets.com/books/1358271931m/6936382.jpg,https://images.gr-assets.com/books/1358271931s/6936382.jpg
368,The Subtle Knife,Philip Pullman,Fantasía,1997,4.1,242503,3905,11486,47802,96998,110594,55,https://images.gr-assets.com/books/1451271814m/119324.jpg,https://images.gr-assets.com/books/1451271814s/119324.jpg
369,Stargirl,Jerry Spinelli,Ciencia Ficción,2000,3.74,237560,9710,22399,62918,76059,74229,85,https://images.gr-assets.com/books/1335947642m/22232.jpg,https://images.gr-assets.com/books/1335947642s/22232.jpg
370,The Red Pyramid,Rick Riordan,Ficción,2010,4.06,232791,4565,12571,46486,78216,101051,76,https://images.gr-assets.com/books/1366227978m/7090447.jpg,https://images.gr-assets.com/books/1366227978s/7090447.jpg
376,The Death Cure,James Dashner,No Ficción,2011,3.77,223674,6731,23270,68067,84128,74988,88,https://images.gr-assets.com/books/1303997647m/7864437.jpg,https://images.gr-assets.com/books/1303997647s/7864437.jpg
382,"Will Grayson, Will Grayson","John Green, David Levithan",Fantasía,2010,3.84,236431,8039,18868,60009,87132,80257,86,https://images.gr-assets.com/books/1368393890m/6567017.jpg,https://images.gr-assets.com/books/1368393890s/6567017.jpg
384,Frostbite,Richelle Mead,Ciencia Ficción,2008,4.3,256745,2851,7224,36392,84199,139399,93,https://images.gr-assets.com/books/1361098960m/2282133.jpg,https://images.gr-assets.com/books/1361098960s/2282133.jpg
386,Island of the Blue Dolphins,Scott O'Dell,Ficción,1960,3.8,236015,8175,19308,61975,80520,75990,127,https://images.gr-assets.com/books/1475166260m/233818.jpg,https://images.gr-assets.com/books/1475166260s/233818.jpg
388,Hatchet,Gary Paulsen,No Ficción,1986,3.68,222553,12070,22390,59179,73180,65144,93,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
393,Throne of Glass,Sarah J. Maas,Fantasía,2012,4.24,274987,8471,12115,41710,96202,169367,73,https://images.gr-assets.com/books/1495278054m/7896527.jpg,https://images.gr-assets.com/books/1495278054s/7896527.jpg
394,Shadow Kiss,Richelle Mead,Ciencia Ficción,2008,4.37,266742,2876,6532,32789,78293,158473,88,https://images.gr-assets.com/books/1361099049m/2802316.jpg,https://images.gr-assets.com/books/1361099049s/2802316.jpg
399,The Tales of Beedle the Bard,J.K. Rowling,Ficción,2007,4.06,284833,3019,15025,69367,103350,128346,131,https://images.gr-assets.com/books/1373467575m/3950967.jpg,https://images.gr-assets.com/books/1373467575s/3950967.jpg
415,Evermore,Alyson Noel,No Ficción,2009,3.59,230031,16941,29301,59174,59075,71213,78,https://images.gr-assets.com/books/1362336360m/3975774.jpg,https://images.gr-assets.com/books/1362336360s/3975774.jpg
418,Spirit Bound,Richelle Mead,Fantasía,2010,4.37,224247,2755,5907,26981,66097,133336,71,https://images.gr-assets.com/books/1291168967m/6479259.jpg,https://images.gr-assets.com/books/1291168967s/6479259.jpg
419,Blood Promise,Richelle Mead,Ciencia Ficción,2009,4.35,231853,2186,6182,30711,70250,135047,76,https://images.gr-assets.com/books/1442530605m/5996153.jpg,https://images.gr-assets.com/books/1442530605s/5996153.jpg
422,Complete Harry Potter Boxed Set,J.K. Rowling,Ficción,1998,4.74,190050,1105,1285,7020,30666,164049,76,https://images.gr-assets.com/books/1392579059m/862041.jpg,https://images.gr-assets.com/books/1392579059s/862041.jpg
423,The Elite,Kiera Cass,No Ficción,2013,4.02,234247,4780,15546,53644,91201,104645,84,https://images.gr-assets.com/books/1391454595m/16248068.jpg,https://images.gr-assets.com/books/1391454595s/16248068.jpg
425,Go Ask Alice,"Beatrice Sparks, Anonymous",Fantasía,1971,3.77,196677,7940,18269,51957,63188,64200,92,https://images.gr-assets.com/books/1327870536m/46799.jpg,https://images.gr-assets.com/books/1327870536s/46799.jpg
428,The Mark of Athena,Rick Riordan,Ciencia Ficción,2012,4.47,277491,2771,4480,26318,77876,182141,65,https://images.gr-assets.com/books/1464201354m/12127750.jpg,https://images.gr-assets.com/books/1464201354s/12127750.jpg
434,Crescendo,Becca Fitzpatrick,Ficción,2010,4.07,226237,5296,13835,43129,68217,103563,73,https://images.gr-assets.com/books/1362408146m/7791997.jpg,https://images.gr-assets.com/books/1362408146s/7791997.jpg
435,Before I Fall,Lauren Oliver,No Ficción,2010,3.92,220160,6283,15320,50933,79050,80973,82,https://images.gr-assets.com/books/1361044695m/6482837.jpg,https://images.gr-assets.com/books/1361044695s/6482837.jpg
443,Just Listen,Sarah Dessen,Fantasía,2006,4.06,202180,3665,10143,40684,68323,85115,61,https://images.gr-assets.com/books/1358270741m/51738.jpg,https://images.gr-assets.com/books/1358270741s/51738.jpg
447,Brisingr,Christopher Paolini,Ciencia Ficción,2008,4.03,211645,4273,13094,44147,75689,89738,143,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
449,Betrayed: a House of Night Novel,"P.C. Cast, Kristin Cast",Ficción,2007,3.93,205340,6222,15443,47467,62243,81886,80,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
452,The 5th Wave,Rick Yancey,No Ficción,2013,4.1,260048,6176,13097,47631,98816,121820,102,https://images.gr-assets.com/books/1359853842m/16101128.jpg,https://images.gr-assets.com/books/1359853842s/16101128.jpg
460,Clockwork Princess,Cassandra Clare,Fantasía,2013,4.59,162099,1935,3804,16964,49313,175968,79,https://images.gr-assets.com/books/1436788488m/18335634.jpg,https://images.gr-assets.com/books/1436788488s/18335634.jpg
475,Where She Went,Gayle Forman,Ciencia Ficción,2011,4.06,193141,2856,10629,43007,76839,85031,8,https://images.gr-assets.com/books/1347810457m/8492825.jpg,https://images.gr-assets.com/books/1347810457s/8492825.jpg
480,The Amber Spyglass,Philip Pullman,Ficción,2000,4.06,192315,4739,11883,39131,70648,91209,42,https://images.gr-assets.com/books/1329189152m/18122.jpg,https://images.gr-assets.com/books/1329189152s/18122.jpg
486,The City of Ember,Jeanne DuPrau,No Ficción,2003,3.85,198809,3684,13227,53014,74561,59599,69,https://images.gr-assets.com/books/1397931596m/307791.jpg,https://images.gr-assets.com/books/1397931596s/307791.jpg
491,Untamed: A House of Night Novel,"P.C. Cast, Kristin Cast",Fantasía,2008,3.95,191743,5701,13859,43080,56984,78726,67,https://images.gr-assets.com/books/1438037020m/2866718.jpg,https://images.gr-assets.com/books/1438037020s/2866718.jpg
500,The Princess Diaries,Meg Cabot,Ciencia Ficción,2000,3.76,193140,5442,16659,57732,61651,59187,125,https://images.gr-assets.com/books/1355011082m/38980.jpg,https://images.gr-assets.com/books/1355011082s/38980.jpg
506,The One,Kiera Cass,Ficción,2014,4.21,139544,3322,9750,35942,72422,115603,94,https://images.gr-assets.com/books/1395612906m/18635016.jpg,https://images.gr-assets.com/books/1395612906s/18635016.jpg
507,The Hunger Games Box Set,Suzanne Collins,No Ficción,2010,4.49,129665,1015,2521,13438,42932,99854,78,https://images.gr-assets.com/books/1360094673m/7938275.jpg,https://images.gr-assets.com/books/1360094673s/7938275.jpg
517,Perfect Chemistry,Simone Elkeles,Fantasía,2008,4.07,198627,6422,11998,35815,57351,93422,52,https://images.gr-assets.com/books/1439792475m/4268157.jpg,https://images.gr-assets.com/books/1439792475s/4268157.jpg
519,Pretties,Scott Westerfeld,Ciencia Ficción,2005,3.85,193405,3808,13664,52192,72804,61287,78,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
525,Pandemonium,Lauren Oliver,Ficción,2012,4.07,181656,3024,8570,35845,69351,74854,76,https://images.gr-assets.com/books/1310371414m/9593911.jpg,https://images.gr-assets.com/books/1310371414s/9593911.jpg
535,Daughter of Smoke & Bone,Laini Taylor,No Ficción,2011,4.04,198283,7073,12325,38879,76179,94359,89,https://images.gr-assets.com/books/1461353773m/8490112.jpg,https://images.gr-assets.com/books/1461353773s/8490112.jpg
536,Red Queen,Victoria Aveyard,Fantasía,2015,4.08,83354,7454,14867,48254,95303,123862,84,https://images.gr-assets.com/books/1411472322m/17878931.jpg,https://images.gr-assets.com/books/1411472322s/17878931.jpg
541,The Truth About Forever,Sarah Dessen,Ciencia Ficción,2004,4.13,179415,2686,7512,33156,59958,80385,45,https://images.gr-assets.com/books/1362767907m/51737.jpg,https://images.gr-assets.com/books/1362767907s/51737.jpg
542,The horse and his boy,C.S. Lewis,Ficción,1954,3.9,189671,2752,13751,54684,68114,69879,280,https://images.gr-assets.com/books/1388210968m/84119.jpg,https://images.gr-assets.com/books/1388210968s/84119.jpg
543,Last Sacrifice ,Richelle Mead,No Ficción,2010,4.42,206792,2797,5330,21948,54440,133137,63,https://images.gr-assets.com/books/1319850978m/6527740.jpg,https://images.gr-assets.com/books/1319850978s/6527740.jpg
548,Pretty Little Liars,Sara Shepard,Fantasía,2006,3.9,156328,5743,12397,37519,47724,62453,75,https://images.gr-assets.com/books/1377830522m/162085.jpg,https://images.gr-assets.com/books/1377830522s/162085.jpg
561,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",Ciencia Ficción,1961,4.22,178432,2848,6922,27918,56237,91467,82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
